Tag,Mapped_Value
29,FT-01
79,FT-62
77,FT-61
130,LT-61
151,PTB-04
155,PTT-04
282,TI-61
284,TI-63
285,TI-64
205,TI-112
183,TI-01
32,FT-02
40,FT-05
49,FT-08
97,LT-01
98,LT-02
147,PTB-01
152,PTT-01
185,TI-03
186,TI-04
187,TI-05
188,TI-06
189,TI-07
190,TI-08
191,TI-09
192,TI-10
202,TI-11
276,TI-51
194,TI-102
281,TI-56
218,TI-204
292,TI-71A
293,TI-71B
52,FT-09
34,FT-03
44,FT-06
99,LT-03
100,LT-04
148,PTB-02
153,PTT-02
207,TI-13
208,TI-14
209,TI-15
210,TI-16
211,TI-17
212,TI-18
213,TI-19
214,TI-20
224,TI-21
234,TI-22
237,TI-23
241,TI-24
242,TI-25
243,TI-26
244,TI-27
246,TI-28
248,TI-29
249,TI-30
294,TI-72A
295,TI-72B
198,TI-106
63,FT-10
47,FT-07
38,FT-04
101,LT-05
102,LT-06
149,PTB-03
154,PTT-03
251,TI-31
253,TI-32
254,TI-33
255,TI-34
256,TI-35
257,TI-36
258,TI-37
259,TI-38
260,TI-39
261,TI-40
270,TI-41
271,TI-42
275,TI-45
279,TI-54
280,TI-55
272,TI-42A
273,TI-43
232,TI-215
235,TI-221
217,TI-203
221,TI-207
226,TI-211
215,TI-201
219,TI-205
223,TI-209
233,TI-216
236,TI-222
222,TI-208
229,TI-212
216,TI-202
220,TI-206
225,TI-210
71,FT-204
65,FT-201
67,FT-202
69,FT-203
203,TI-110
204,TI-111¨
193,TI-101
194,TI-102/TI-106
196,TI-104
197,TI-105
199,TI-107
201,TI-109
55,FI-101
57,FI-102
59,FI-103
61,FI-104
